strategy_label,strategy_description,strategy_level,category_name,category_label,category_description,category_instructions,policy_name,policy_label,policy_description,inputs
Vehicles/Fuels,Factors representing changes to future vehicles and fuels.,0,V,Vehicle Characteristics,Proportions of light trucks and average vehicle age,The combination of fuel prices and vehicle travel charges to pay for roadways and to pay for externalities such as carbon pricing.,1,Base,Light truck proportion remains 45% of the fleet and the average vehicle age remains 12 years.,"azone_hh_veh_mean_age.csv,azone_lttrk_prop.csv"
Vehicles/Fuels,Factors representing changes to future vehicles and fuels.,0,F,Technology Mix and CI,Vehicle technology mix and carbon intensity of fuels.,,1,Base,Baseline vehicle technology mix.,"marea_transit_powertrain_prop.csv,region_carsvc_powertrain_prop.csv,region_comsvc_powertrain_prop.csv"
Vehicles/Fuels,Factors representing changes to future vehicles and fuels.,1,V,Vehicle Characteristics,Proportions of light trucks and average vehicle age,The combination of fuel prices and vehicle travel charges to pay for roadways and to pay for externalities such as carbon pricing.,2,Reduced,Light truck proportion at 35% of the fleet and the average vehicle age at 8 years.,"azone_hh_veh_mean_age.csv,azone_lttrk_prop.csv"
Vehicles/Fuels,Factors representing changes to future vehicles and fuels.,1,F,Technology Mix and CI,Vehicle technology mix and carbon intensity of fuels.,,1,Base,Baseline vehicle technology mix.,"marea_transit_powertrain_prop.csv,region_carsvc_powertrain_prop.csv,region_comsvc_powertrain_prop.csv"
Vehicles/Fuels,Factors representing changes to future vehicles and fuels.,2,V,Vehicle Characteristics,Proportions of light trucks and average vehicle age,The combination of fuel prices and vehicle travel charges to pay for roadways and to pay for externalities such as carbon pricing.,2,Reduced,Light truck proportion at 35% of the fleet and the average vehicle age at 8 years.,"azone_hh_veh_mean_age.csv,azone_lttrk_prop.csv"
Vehicles/Fuels,Factors representing changes to future vehicles and fuels.,2,F,Technology Mix and CI,Vehicle technology mix and carbon intensity of fuels.,,2,Higher Electric,Increased percentage of electric vehicles in household and commercial setting by 20%.,"marea_transit_powertrain_prop.csv,region_carsvc_powertrain_prop.csv,region_comsvc_powertrain_prop.csv"
Fuel Price,Context factor on the assumed market price of gasoline (exclusive of fuel taxes.),0,G,Fuel Price,Real fuel price in 2010 USD.,,1,Base,Baseline fuel price.,azone_fuel_power_cost.csv
Fuel Price,Context factor on the assumed market price of gasoline (exclusive of fuel taxes.),1,G,Fuel Price,Real fuel price in 2010 USD.,,2,Double fuel price,Real fuel price doubles.,azone_fuel_power_cost.csv
Fuel Price,Context factor on the assumed market price of gasoline (exclusive of fuel taxes.),2,G,Fuel Price,Real fuel price in 2010 USD.,,3,Quadruple fuel price,Real fuel price quadruples.,azone_fuel_power_cost.csv
Income,Context factor on the assumed growth of statewide average per capita income.,0,I,Income,Real average household income in 2010 USD.,,1,Base,Baseline household income.,azone_per_cap_inc.csv
Income,Context factor on the assumed growth of statewide average per capita income.,1,I,Income,Real average household income in 2010 USD.,,2,Income growth 1,Income growth of 7% w.r.t reference.,azone_per_cap_inc
Income,Context factor on the assumed growth of statewide average per capita income.,2,I,Income,Real average household income in 2010 USD.,,3,Income growth 2,Income growth of 14% w.r.t reference.,azone_per_cap_inc
