Geo,Year,PropWkrInRuralJobs,PropWkrInTownJobs,PropWkrInMetroJobs,PropMetroJobs,TownJobWkrRatio
Grant,1995,0.1758,0.8242,0,0,0.991
Harney,1995,0.2264,0.7736,0,0,1.041
Hood River,1995,0.3478,0.6522,0,0,1.15
Jackson,1995,0.0331,0.0426,0.9243,1,0.132
Jefferson,1995,0.2451,0.7549,0,0,0.936
Josephine,1995,0.0914,0.0952,0.8134,1,0.267
Klamath,1995,0.1549,0.8451,0,0,1.079
Lake,1995,0.2721,0.7279,0,0,0.946
Lane,1995,0.0617,0.1055,0.8328,1,0.758
Lincoln,1995,0.1187,0.8813,0,0,1.26
Linn,1995,0.1288,0.2126,0.6586,1,1.091
Malheur,1995,0.1783,0.8217,0,0,1.016
Marion,1995,0.0957,0.1584,0.7459,0.9772,0.984
Morrow,1995,0.3291,0.6709,0,0,1.157
Multnomah,1995,0.0145,0,0.9855,0.562,0
Polk,1995,0.1057,0.239,0.6553,0.0228,1.203
Sherman,1995,0.2309,0.7691,0,0,1.074
Tillamook,1995,0.2695,0.7305,0,0,1.092
Umatilla,1995,0.2367,0.7633,0,0,1.061
Union,1995,0.16,0.84,0,0,1.041
Wallowa,1995,0.1789,0.8211,0,0,1.005
Wasco,1995,0.1734,0.8266,0,0,1.168
Washington,1995,0.0238,0.035,0.9412,0.2885,0.162
Wheeler,1995,0.2171,0.7829,0,0,0.908
Yamhill,1995,0.1369,0.8631,0,0,1.457
Baker,2000,0.1032,0.8968,0,0,1.015
Benton,2000,0.0841,0.0894,0.8265,1,0.064
Clackamas,2000,0.05,0.0768,0.8732,0.1495,0.933
Clatsop,2000,0.117,0.883,0,0,1.125
Columbia,2000,0.1045,0.8955,0,0,1.179
Coos,2000,0.168,0.832,0,0,0.884
Crook,2000,0.1176,0.8824,0,0,1.032
Curry,2000,0.091,0.909,0,0,1.053
Deschutes,2000,0.0946,0.2042,0.7012,1,1.019
Douglas,2000,0.1999,0.8001,0,0,1.161
Gilliam,2000,0.3131,0.6869,0,0,0.839
Grant,2000,0.1758,0.8242,0,0,0.991
Harney,2000,0.2264,0.7736,0,0,1.041
Hood River,2000,0.3478,0.6522,0,0,1.15
Jackson,2000,0.0331,0.0426,0.9243,1,0.132
Jefferson,2000,0.2451,0.7549,0,0,0.936
Josephine,2000,0.0914,0.0952,0.8134,1,0.267
Klamath,2000,0.1549,0.8451,0,0,1.079
Lake,2000,0.2721,0.7279,0,0,0.946
Lane,2000,0.0617,0.1055,0.8328,1,0.758
Lincoln,2000,0.1187,0.8813,0,0,1.26
Linn,2000,0.1288,0.2126,0.6586,1,1.091
Malheur,2000,0.1783,0.8217,0,0,1.016
Marion,2000,0.0957,0.1584,0.7459,0.9772,0.984
Morrow,2000,0.3291,0.6709,0,0,1.157
Multnomah,2000,0.0145,0,0.9855,0.562,0
Polk,2000,0.1057,0.239,0.6553,0.0228,1.203
Sherman,2000,0.2309,0.7691,0,0,1.074
Tillamook,2000,0.2695,0.7305,0,0,1.092
Umatilla,2000,0.2367,0.7633,0,0,1.061
Union,2000,0.16,0.84,0,0,1.041
Wallowa,2000,0.1789,0.8211,0,0,1.005
Wasco,2000,0.1734,0.8266,0,0,1.168
Washington,2000,0.0238,0.035,0.9412,0.2885,0.162
Wheeler,2000,0.2171,0.7829,0,0,0.908
Yamhill,2000,0.1369,0.8631,0,0,1.457
Baker,2005,0.1032,0.8968,0,0,1.015
Benton,2005,0.0841,0.0894,0.8265,1,0.064
Clackamas,2005,0.05,0.0768,0.8732,0.1495,0.933
Clatsop,2005,0.117,0.883,0,0,1.125
Columbia,2005,0.1045,0.8955,0,0,1.179
Coos,2005,0.168,0.832,0,0,0.884
Crook,2005,0.1176,0.8824,0,0,1.032
Curry,2005,0.091,0.909,0,0,1.053
Deschutes,2005,0.0946,0.2042,0.7012,1,1.019
Douglas,2005,0.1999,0.8001,0,0,1.161
Gilliam,2005,0.3131,0.6869,0,0,0.839
Grant,2005,0.1758,0.8242,0,0,0.991
Harney,2005,0.2264,0.7736,0,0,1.041
Hood River,2005,0.3478,0.6522,0,0,1.15
Jackson,2005,0.0331,0.0426,0.9243,1,0.132
Jefferson,2005,0.2451,0.7549,0,0,0.936
Josephine,2005,0.0914,0.0952,0.8134,1,0.267
Klamath,2005,0.1549,0.8451,0,0,1.079
Lake,2005,0.2721,0.7279,0,0,0.946
Lane,2005,0.0617,0.1055,0.8328,1,0.758
Lincoln,2005,0.1187,0.8813,0,0,1.26
Linn,2005,0.1288,0.2126,0.6586,1,1.091
Malheur,2005,0.1783,0.8217,0,0,1.016
Marion,2005,0.0957,0.1584,0.7459,0.9772,0.984
Morrow,2005,0.3291,0.6709,0,0,1.157
Multnomah,2005,0.0145,0,0.9855,0.562,0
Polk,2005,0.1057,0.239,0.6553,0.0228,1.203
Sherman,2005,0.2309,0.7691,0,0,1.074
Tillamook,2005,0.2695,0.7305,0,0,1.092
Umatilla,2005,0.2367,0.7633,0,0,1.061
Union,2005,0.16,0.84,0,0,1.041
Wallowa,2005,0.1789,0.8211,0,0,1.005
Wasco,2005,0.1734,0.8266,0,0,1.168
Washington,2005,0.0238,0.035,0.9412,0.2885,0.162
Wheeler,2005,0.2171,0.7829,0,0,0.908
Yamhill,2005,0.1369,0.8631,0,0,1.457
Baker,2010,0.1032,0.8968,0,0,1.015
Benton,2010,0.0841,0.0894,0.8265,1,0.064
Clackamas,2010,0.05,0.0768,0.8732,0.1495,0.933
Clatsop,2010,0.117,0.883,0,0,1.125
Columbia,2010,0.1045,0.8955,0,0,1.179
Coos,2010,0.168,0.832,0,0,0.884
Crook,2010,0.1176,0.8824,0,0,1.032
Curry,2010,0.091,0.909,0,0,1.053
Deschutes,2010,0.0946,0.2042,0.7012,1,1.019
Douglas,2010,0.1999,0.8001,0,0,1.161
Gilliam,2010,0.3131,0.6869,0,0,0.839
Grant,2010,0.1758,0.8242,0,0,0.991
Harney,2010,0.2264,0.7736,0,0,1.041
Hood River,2010,0.3478,0.6522,0,0,1.15
Jackson,2010,0.0331,0.0426,0.9243,1,0.132
Jefferson,2010,0.2451,0.7549,0,0,0.936
Josephine,2010,0.0914,0.0952,0.8134,1,0.267
Klamath,2010,0.1549,0.8451,0,0,1.079
Lake,2010,0.2721,0.7279,0,0,0.946
Lane,2010,0.0617,0.1055,0.8328,1,0.758
Lincoln,2010,0.1187,0.8813,0,0,1.26
Linn,2010,0.1288,0.2126,0.6586,1,1.091
Malheur,2010,0.1783,0.8217,0,0,1.016
Marion,2010,0.0957,0.1584,0.7459,0.9772,0.984
Morrow,2010,0.3291,0.6709,0,0,1.157
Multnomah,2010,0.0145,0,0.9855,0.562,0
Polk,2010,0.1057,0.239,0.6553,0.0228,1.203
Sherman,2010,0.2309,0.7691,0,0,1.074
Tillamook,2010,0.2695,0.7305,0,0,1.092
Umatilla,2010,0.2367,0.7633,0,0,1.061
Union,2010,0.16,0.84,0,0,1.041
Wallowa,2010,0.1789,0.8211,0,0,1.005
Wasco,2010,0.1734,0.8266,0,0,1.168
Washington,2010,0.0238,0.035,0.9412,0.2885,0.162
Wheeler,2010,0.2171,0.7829,0,0,0.908
Yamhill,2010,0.1369,0.8631,0,0,1.457
Baker,2015,0.1032,0.8968,0,0,1.015
Benton,2015,0.0841,0.0894,0.8265,1,0.064
Clackamas,2015,0.05,0.0768,0.8732,0.1495,0.933
Clatsop,2015,0.117,0.883,0,0,1.125
Columbia,2015,0.1045,0.8955,0,0,1.179
Coos,2015,0.168,0.832,0,0,0.884
Crook,2015,0.1176,0.8824,0,0,1.032
Curry,2015,0.091,0.909,0,0,1.053
Deschutes,2015,0.0946,0.2042,0.7012,1,1.019
Douglas,2015,0.1999,0.8001,0,0,1.161
Gilliam,2015,0.3131,0.6869,0,0,0.839
Grant,2015,0.1758,0.8242,0,0,0.991
Harney,2015,0.2264,0.7736,0,0,1.041
Hood River,2015,0.3478,0.6522,0,0,1.15
Jackson,2015,0.0331,0.0426,0.9243,1,0.132
Jefferson,2015,0.2451,0.7549,0,0,0.936
Josephine,2015,0.0914,0.0952,0.8134,1,0.267
Klamath,2015,0.1549,0.8451,0,0,1.079
Lake,2015,0.2721,0.7279,0,0,0.946
Lane,2015,0.0617,0.1055,0.8328,1,0.758
Lincoln,2015,0.1187,0.8813,0,0,1.26
Linn,2015,0.1288,0.2126,0.6586,1,1.091
Malheur,2015,0.1783,0.8217,0,0,1.016
Marion,2015,0.0957,0.1584,0.7459,0.9779,0.984
Morrow,2015,0.3291,0.6709,0,0,1.157
Multnomah,2015,0.0145,0,0.9855,0.562,0
Polk,2015,0.1057,0.239,0.6553,0.0221,1.203
Sherman,2015,0.2309,0.7691,0,0,1.074
Tillamook,2015,0.2695,0.7305,0,0,1.092
Umatilla,2015,0.2367,0.7633,0,0,1.061
Union,2015,0.16,0.84,0,0,1.041
Wallowa,2015,0.1789,0.8211,0,0,1.005
Wasco,2015,0.1734,0.8266,0,0,1.168
Washington,2015,0.0238,0.035,0.9412,0.2885,0.162
Wheeler,2015,0.2171,0.7829,0,0,0.908
Yamhill,2015,0.1369,0.8631,0,0,1.457
Baker,2020,0.1032,0.8968,0,0,1.015
Benton,2020,0.0841,0.0894,0.8265,1,0.064
Clackamas,2020,0.05,0.0768,0.8732,0.1529,0.933
Clatsop,2020,0.117,0.883,0,0,1.125
Columbia,2020,0.1045,0.8955,0,0,1.179
Coos,2020,0.168,0.832,0,0,0.884
Crook,2020,0.1176,0.8824,0,0,1.032
Curry,2020,0.091,0.909,0,0,1.053
Deschutes,2020,0.0946,0.2042,0.7012,1,1.019
Douglas,2020,0.1999,0.8001,0,0,1.161
Gilliam,2020,0.3131,0.6869,0,0,0.839
Grant,2020,0.1758,0.8242,0,0,0.991
Harney,2020,0.2264,0.7736,0,0,1.041
Hood River,2020,0.3478,0.6522,0,0,1.15
Jackson,2020,0.0331,0.0426,0.9243,1,0.132
Jefferson,2020,0.2451,0.7549,0,0,0.936
Josephine,2020,0.0914,0.0952,0.8134,1,0.267
Klamath,2020,0.1549,0.8451,0,0,1.079
Lake,2020,0.2721,0.7279,0,0,0.946
Lane,2020,0.0617,0.1055,0.8328,1,0.758
Lincoln,2020,0.1187,0.8813,0,0,1.26
Linn,2020,0.1288,0.2126,0.6586,1,1.091
Malheur,2020,0.1783,0.8217,0,0,1.016
Marion,2020,0.0957,0.1584,0.7459,0.9785,0.984
Morrow,2020,0.3291,0.6709,0,0,1.157
Multnomah,2020,0.0145,0,0.9855,0.5526,0
Polk,2020,0.1057,0.239,0.6553,0.0215,1.203
Sherman,2020,0.2309,0.7691,0,0,1.074
Tillamook,2020,0.2695,0.7305,0,0,1.092
Umatilla,2020,0.2367,0.7633,0,0,1.061
Union,2020,0.16,0.84,0,0,1.041
Wallowa,2020,0.1789,0.8211,0,0,1.005
Wasco,2020,0.1734,0.8266,0,0,1.168
Washington,2020,0.0238,0.035,0.9412,0.2945,0.162
Wheeler,2020,0.2171,0.7829,0,0,0.908
Yamhill,2020,0.1369,0.8631,0,0,1.457
Baker,2025,0.1032,0.8968,0,0,1.015
Benton,2025,0.0841,0.0894,0.8265,1,0.064
Clackamas,2025,0.05,0.0768,0.8732,0.1558,0.933
Clatsop,2025,0.117,0.883,0,0,1.125
Columbia,2025,0.1045,0.8955,0,0,1.179
Coos,2025,0.168,0.832,0,0,0.884
Crook,2025,0.1176,0.8824,0,0,1.032
Curry,2025,0.091,0.909,0,0,1.053
Deschutes,2025,0.0946,0.2042,0.7012,1,1.019
Douglas,2025,0.1999,0.8001,0,0,1.161
Gilliam,2025,0.3131,0.6869,0,0,0.839
Grant,2025,0.1758,0.8242,0,0,0.991
Harney,2025,0.2264,0.7736,0,0,1.041
Hood River,2025,0.3478,0.6522,0,0,1.15
Jackson,2025,0.0331,0.0426,0.9243,1,0.132
Jefferson,2025,0.2451,0.7549,0,0,0.936
Josephine,2025,0.0914,0.0952,0.8134,1,0.267
Klamath,2025,0.1549,0.8451,0,0,1.079
Lake,2025,0.2721,0.7279,0,0,0.946
Lane,2025,0.0617,0.1055,0.8328,1,0.758
Lincoln,2025,0.1187,0.8813,0,0,1.26
Linn,2025,0.1288,0.2126,0.6586,1,1.091
Malheur,2025,0.1783,0.8217,0,0,1.016
Marion,2025,0.0957,0.1584,0.7459,0.9791,0.984
Morrow,2025,0.3291,0.6709,0,0,1.157
Multnomah,2025,0.0145,0,0.9855,0.5444,0
Polk,2025,0.1057,0.239,0.6553,0.0209,1.203
Sherman,2025,0.2309,0.7691,0,0,1.074
Tillamook,2025,0.2695,0.7305,0,0,1.092
Umatilla,2025,0.2367,0.7633,0,0,1.061
Union,2025,0.16,0.84,0,0,1.041
Wallowa,2025,0.1789,0.8211,0,0,1.005
Wasco,2025,0.1734,0.8266,0,0,1.168
Washington,2025,0.0238,0.035,0.9412,0.2998,0.162
Wheeler,2025,0.2171,0.7829,0,0,0.908
Yamhill,2025,0.1369,0.8631,0,0,1.457
Baker,2030,0.1032,0.8968,0,0,1.015
Benton,2030,0.0841,0.0894,0.8265,1,0.064
Clackamas,2030,0.05,0.0768,0.8732,0.1583,0.933
Clatsop,2030,0.117,0.883,0,0,1.125
Columbia,2030,0.1045,0.8955,0,0,1.179
Coos,2030,0.168,0.832,0,0,0.884
Crook,2030,0.1176,0.8824,0,0,1.032
Curry,2030,0.091,0.909,0,0,1.053
Deschutes,2030,0.0946,0.2042,0.7012,1,1.019
Douglas,2030,0.1999,0.8001,0,0,1.161
Gilliam,2030,0.3131,0.6869,0,0,0.839
Grant,2030,0.1758,0.8242,0,0,0.991
Harney,2030,0.2264,0.7736,0,0,1.041
Hood River,2030,0.3478,0.6522,0,0,1.15
Jackson,2030,0.0331,0.0426,0.9243,1,0.132
Jefferson,2030,0.2451,0.7549,0,0,0.936
Josephine,2030,0.0914,0.0952,0.8134,1,0.267
Klamath,2030,0.1549,0.8451,0,0,1.079
Lake,2030,0.2721,0.7279,0,0,0.946
Lane,2030,0.0617,0.1055,0.8328,1,0.758
Lincoln,2030,0.1187,0.8813,0,0,1.26
Linn,2030,0.1288,0.2126,0.6586,1,1.091
Malheur,2030,0.1783,0.8217,0,0,1.016
Marion,2030,0.0957,0.1584,0.7459,0.9796,0.984
Morrow,2030,0.3291,0.6709,0,0,1.157
Multnomah,2030,0.0145,0,0.9855,0.5373,0
Polk,2030,0.1057,0.239,0.6553,0.0204,1.203
Sherman,2030,0.2309,0.7691,0,0,1.074
Tillamook,2030,0.2695,0.7305,0,0,1.092
Umatilla,2030,0.2367,0.7633,0,0,1.061
Union,2030,0.16,0.84,0,0,1.041
Wallowa,2030,0.1789,0.8211,0,0,1.005
Wasco,2030,0.1734,0.8266,0,0,1.168
Washington,2030,0.0238,0.035,0.9412,0.3044,0.162
Wheeler,2030,0.2171,0.7829,0,0,0.908
Yamhill,2030,0.1369,0.8631,0,0,1.457
Baker,2035,0.1032,0.8968,0,0,1.015
Benton,2035,0.0841,0.0894,0.8265,1,0.064
Clackamas,2035,0.05,0.0768,0.8732,0.1605,0.933
Clatsop,2035,0.117,0.883,0,0,1.125
Columbia,2035,0.1045,0.8955,0,0,1.179
Coos,2035,0.168,0.832,0,0,0.884
Crook,2035,0.1176,0.8824,0,0,1.032
Curry,2035,0.091,0.909,0,0,1.053
Deschutes,2035,0.0946,0.2042,0.7012,1,1.019
Douglas,2035,0.1999,0.8001,0,0,1.161
Gilliam,2035,0.3131,0.6869,0,0,0.839
Grant,2035,0.1758,0.8242,0,0,0.991
Harney,2035,0.2264,0.7736,0,0,1.041
Hood River,2035,0.3478,0.6522,0,0,1.15
Jackson,2035,0.0331,0.0426,0.9243,1,0.132
Jefferson,2035,0.2451,0.7549,0,0,0.936
Josephine,2035,0.0914,0.0952,0.8134,1,0.267
Klamath,2035,0.1549,0.8451,0,0,1.079
Lake,2035,0.2721,0.7279,0,0,0.946
Lane,2035,0.0617,0.1055,0.8328,1,0.758
Lincoln,2035,0.1187,0.8813,0,0,1.26
Linn,2035,0.1288,0.2126,0.6586,1,1.091
Malheur,2035,0.1783,0.8217,0,0,1.016
Marion,2035,0.0957,0.1584,0.7459,0.98,0.984
Morrow,2035,0.3291,0.6709,0,0,1.157
Multnomah,2035,0.0145,0,0.9855,0.531,0
Polk,2035,0.1057,0.239,0.6553,0.02,1.203
Sherman,2035,0.2309,0.7691,0,0,1.074
Tillamook,2035,0.2695,0.7305,0,0,1.092
Umatilla,2035,0.2367,0.7633,0,0,1.061
Union,2035,0.16,0.84,0,0,1.041
Wallowa,2035,0.1789,0.8211,0,0,1.005
Wasco,2035,0.1734,0.8266,0,0,1.168
Washington,2035,0.0238,0.035,0.9412,0.3085,0.162
Wheeler,2035,0.2171,0.7829,0,0,0.908
Yamhill,2035,0.1369,0.8631,0,0,1.457
Baker,2040,0.1032,0.8968,0,0,1.015
Benton,2040,0.0841,0.0894,0.8265,1,0.064
Clackamas,2040,0.05,0.0768,0.8732,0.1625,0.933
Clatsop,2040,0.117,0.883,0,0,1.125
Columbia,2040,0.1045,0.8955,0,0,1.179
Coos,2040,0.168,0.832,0,0,0.884
Crook,2040,0.1176,0.8824,0,0,1.032
Curry,2040,0.091,0.909,0,0,1.053
Deschutes,2040,0.0946,0.2042,0.7012,1,1.019
Douglas,2040,0.1999,0.8001,0,0,1.161
Gilliam,2040,0.3131,0.6869,0,0,0.839
Grant,2040,0.1758,0.8242,0,0,0.991
Harney,2040,0.2264,0.7736,0,0,1.041
Hood River,2040,0.3478,0.6522,0,0,1.15
Jackson,2040,0.0331,0.0426,0.9243,1,0.132
Jefferson,2040,0.2451,0.7549,0,0,0.936
Josephine,2040,0.0914,0.0952,0.8134,1,0.267
Klamath,2040,0.1549,0.8451,0,0,1.079
Lake,2040,0.2721,0.7279,0,0,0.946
Lane,2040,0.0617,0.1055,0.8328,1,0.758
Lincoln,2040,0.1187,0.8813,0,0,1.26
Linn,2040,0.1288,0.2126,0.6586,1,1.091
Malheur,2040,0.1783,0.8217,0,0,1.016
Marion,2040,0.0957,0.1584,0.7459,0.98,0.984
Morrow,2040,0.3291,0.6709,0,0,1.157
Multnomah,2040,0.0145,0,0.9855,0.5254,0
Polk,2040,0.1057,0.239,0.6553,0.02,1.203
Sherman,2040,0.2309,0.7691,0,0,1.074
Tillamook,2040,0.2695,0.7305,0,0,1.092
Umatilla,2040,0.2367,0.7633,0,0,1.061
Union,2040,0.16,0.84,0,0,1.041
Wallowa,2040,0.1789,0.8211,0,0,1.005
Wasco,2040,0.1734,0.8266,0,0,1.168
Washington,2040,0.0238,0.035,0.9412,0.3121,0.162
Wheeler,2040,0.2171,0.7829,0,0,0.908
Yamhill,2040,0.1369,0.8631,0,0,1.457
Baker,2045,0.1032,0.8968,0,0,1.015
Benton,2045,0.0841,0.0894,0.8265,1,0.064
Clackamas,2045,0.05,0.0768,0.8732,0.1625,0.933
Clatsop,2045,0.117,0.883,0,0,1.125
Columbia,2045,0.1045,0.8955,0,0,1.179
Coos,2045,0.168,0.832,0,0,0.884
Crook,2045,0.1176,0.8824,0,0,1.032
Curry,2045,0.091,0.909,0,0,1.053
Deschutes,2045,0.0946,0.2042,0.7012,1,1.019
Douglas,2045,0.1999,0.8001,0,0,1.161
Gilliam,2045,0.3131,0.6869,0,0,0.839
Grant,2045,0.1758,0.8242,0,0,0.991
Harney,2045,0.2264,0.7736,0,0,1.041
Hood River,2045,0.3478,0.6522,0,0,1.15
Jackson,2045,0.0331,0.0426,0.9243,1,0.132
Jefferson,2045,0.2451,0.7549,0,0,0.936
Josephine,2045,0.0914,0.0952,0.8134,1,0.267
Klamath,2045,0.1549,0.8451,0,0,1.079
Lake,2045,0.2721,0.7279,0,0,0.946
Lane,2045,0.0617,0.1055,0.8328,1,0.758
Lincoln,2045,0.1187,0.8813,0,0,1.26
Linn,2045,0.1288,0.2126,0.6586,1,1.091
Malheur,2045,0.1783,0.8217,0,0,1.016
Marion,2045,0.0957,0.1584,0.7459,0.98,0.984
Morrow,2045,0.3291,0.6709,0,0,1.157
Multnomah,2045,0.0145,0,0.9855,0.5254,0
Polk,2045,0.1057,0.239,0.6553,0.02,1.203
Sherman,2045,0.2309,0.7691,0,0,1.074
Tillamook,2045,0.2695,0.7305,0,0,1.092
Umatilla,2045,0.2367,0.7633,0,0,1.061
Union,2045,0.16,0.84,0,0,1.041
Wallowa,2045,0.1789,0.8211,0,0,1.005
Wasco,2045,0.1734,0.8266,0,0,1.168
Washington,2045,0.0238,0.035,0.9412,0.3121,0.162
Wheeler,2045,0.2171,0.7829,0,0,0.908
Yamhill,2045,0.1369,0.8631,0,0,1.457
Baker,2050,0.1032,0.8968,0,0,1.015
Benton,2050,0.0841,0.0894,0.8265,1,0.064
Clackamas,2050,0.05,0.0768,0.8732,0.1625,0.933
Clatsop,2050,0.117,0.883,0,0,1.125
Columbia,2050,0.1045,0.8955,0,0,1.179
Coos,2050,0.168,0.832,0,0,0.884
Crook,2050,0.1176,0.8824,0,0,1.032
Curry,2050,0.091,0.909,0,0,1.053
Deschutes,2050,0.0946,0.2042,0.7012,1,1.019
Douglas,2050,0.1999,0.8001,0,0,1.161
Gilliam,2050,0.3131,0.6869,0,0,0.839
Grant,2050,0.1758,0.8242,0,0,0.991
Harney,2050,0.2264,0.7736,0,0,1.041
Hood River,2050,0.3478,0.6522,0,0,1.15
Jackson,2050,0.0331,0.0426,0.9243,1,0.132
Jefferson,2050,0.2451,0.7549,0,0,0.936
Josephine,2050,0.0914,0.0952,0.8134,1,0.267
Klamath,2050,0.1549,0.8451,0,0,1.079
Lake,2050,0.2721,0.7279,0,0,0.946
Lane,2050,0.0617,0.1055,0.8328,1,0.758
Lincoln,2050,0.1187,0.8813,0,0,1.26
Linn,2050,0.1288,0.2126,0.6586,1,1.091
Malheur,2050,0.1783,0.8217,0,0,1.016
Marion,2050,0.0957,0.1584,0.7459,0.98,0.984
Morrow,2050,0.3291,0.6709,0,0,1.157
Multnomah,2050,0.0145,0,0.9855,0.5254,0
Polk,2050,0.1057,0.239,0.6553,0.02,1.203
Sherman,2050,0.2309,0.7691,0,0,1.074
Tillamook,2050,0.2695,0.7305,0,0,1.092
Umatilla,2050,0.2367,0.7633,0,0,1.061
Union,2050,0.16,0.84,0,0,1.041
Wallowa,2050,0.1789,0.8211,0,0,1.005
Wasco,2050,0.1734,0.8266,0,0,1.168
Washington,2050,0.0238,0.035,0.9412,0.3121,0.162
Wheeler,2050,0.2171,0.7829,0,0,0.908
Yamhill,2050,0.1369,0.8631,0,0,1.457
